,team,wins,scored
2017,CSKA Moscow,17,49
2017,Spartak Moscow,16,51
2017,FC Krasnodar,16,46
2017,Zenit St. Petersburg,14,46
2017,FC Ufa,11,34
2017,Arsenal Tula,12,35
2017,Dinamo Moscow,10,29
2017,FK Akhmat,10,30
2017,Rubin Kazan,9,32
2017,FC Rostov,9,27
2017,Ural,8,31
2017,Amkar,9,20
2017,Anzhi Makhachkala,6,31
2017,Tosno,6,23
2017,SKA-Khabarovsk,2,16
2018,Zenit St. Petersburg,20,57
2018,Lokomotiv Moscow,16,45
2018,FC Krasnodar,16,55
2018,CSKA Moscow,14,46
2018,Spartak Moscow,14,36
2018,Arsenal Tula,12,40
2018,FC Orenburg,12,39
2018,FK Akhmat,11,28
2018,FC Rostov,10,25
2018,Ural,10,33
2018,Rubin Kazan,7,24
2018,Dinamo Moscow,6,28
2018,Krylya Sovetov Samara,8,25
2018,FC Ufa,5,24
2018,Anzhi Makhachkala,5,13
2018,FC Yenisey Krasnoyarsk,4,24
2019,Zenit St. Petersburg,22,65
2019,Lokomotiv Moscow,16,41
2019,FC Krasnodar,14,49
2019,CSKA Moscow,14,43
2019,FC Rostov,12,45
2019,Dinamo Moscow,11,27
2019,Spartak Moscow,11,35
2019,FC Ufa,8,22
2019,Arsenal Tula,11,37
2019,Rubin Kazan,8,18
2019,Ural,9,36
2019,PFC Sochi,8,40
2019,FK Akhmat,7,27
2019,Krylya Sovetov Samara,8,33
2019,FC Tambov,9,37
2019,FC Orenburg,7,28
